Massachusetts, Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199001,40.8
199002,40.7
199003,48.3
199004,55.8
199005,63.2
199006,76.1
199007,80.5
199008,79.6
199009,71.3
199010,65.0
199011,52.5
199012,44.1
199101,34.5
199102,41.4
199103,47.5
199104,60.6
199105,73.9
199106,78.4
199107,81.3
199108,80.5
199109,70.6
199110,63.2
199111,48.9
199112,40.5
199201,35.6
199202,37.1
199203,41.4
199204,53.2
199205,67.8
199206,75.4
199207,77.4
199208,76.5
199209,70.9
199210,57.4
199211,46.0
199212,37.7
199301,35.8
199302,31.0
199303,41.5
199304,56.0
199305,69.9
199306,76.9
199307,82.7
199308,81.2
199309,70.1
199310,58.6
199311,50.6
199312,37.6
199401,27.7
199402,31.9
199403,43.1
199404,59.1
199405,66.3
199406,78.8
199407,84.0
199408,77.6
199409,69.6
199410,61.9
199411,54.6
199412,42.8
199501,38.8
199502,34.7
199503,46.4
199504,54.6
199505,65.3
199506,77.7
199507,83.2
199508,81.2
199509,70.8
199510,65.3
199511,45.1
199512,32.9
199601,33.9
199602,34.6
199603,42.5
199604,55.3
199605,66.3
199606,76.4
199607,78.5
199608,79.3
199609,70.2
199610,60.3
199611,44.9
199612,41.7
199701,34.0
199702,41.2
199703,42.6
199704,54.1
199705,63.5
199706,77.4
199707,81.4
199708,78.2
199709,71.2
199710,60.0
199711,45.7
199712,39.4
199801,38.4
199802,42.1
199803,47.2
199804,58.5
199805,71.1
199806,73.1
199807,81.1
199808,81.0
199809,74.6
199810,60.9
199811,49.2
199812,45.1
199901,36.3
199902,40.0
199903,45.8
199904,58.4
199905,69.3
199906,80.5
199907,84.4
199908,79.3
199909,74.6
199910,60.5
199911,54.5
199912,41.4
200001,33.5
200002,39.3
200003,51.3
200004,54.3
200005,67.5
200006,75.6
200007,77.0
200008,76.7
200009,71.2
200010,61.1
200011,47.5
200012,34.1
200101,34.4
200102,37.4
200103,40.2
200104,57.7
200105,69.9
200106,78.7
200107,78.6
200108,82.4
200109,73.4
200110,64.3
200111,54.9
200112,44.5
200201,40.6
200202,42.9
200203,46.9
200204,59.7
200205,65.8
200206,75.2
200207,82.6
200208,83.0
200209,75.4
200210,58.1
200211,46.8
200212,37.1
200301,27.8
200302,31.8
200303,46.3
200304,53.0
200305,64.3
200306,73.4
200307,81.4
200308,80.8
200309,72.4
200310,59.0
200311,51.7
200312,40.1
200401,25.1
200402,37.4
200403,45.4
200404,57.4
200405,69.8
200406,74.8
200407,78.3
200408,78.5
200409,72.9
200410,59.3
200411,50.4
200412,38.9
200501,31.9
200502,38.4
200503,41.1
200504,60.4
200505,61.0
200506,79.1
200507,81.6
200508,82.5
200509,76.5
200510,59.9
200511,52.8
200512,36.5
200601,41.7
200602,37.3
200603,45.6
200604,59.8
200605,65.6
200606,74.9
200607,83.3
200608,78.7
200609,70.6
200610,60.5
200611,54.3
200612,45.5
200701,38.0
200702,31.1
200703,44.8
200704,52.7
200705,71.3
200706,76.5
200707,80.6
200708,80.8
200709,75.4
200710,66.2
200711,48.0
200712,36.1
200801,37.5
200802,37.2
200803,44.0
200804,60.2
200805,65.8
200806,77.9
200807,82.4
200808,77.6
200809,72.2
200810,60.2
200811,48.2
200812,40.4
200901,29.3
200902,38.6
200903,45.2
200904,59.6
200905,67.8
200906,71.1
200907,77.0
200908,80.8
200909,70.8
200910,57.6
200911,53.8
200912,37.1
201001,34.0
